From	To
Q9UBE0	SAE1
Q9BSJ8	ESYT1
P02656	APOC3
O95741	CPNE6
P09651	HNRNPA1
P55809	OXCT1
Q15631	TSN
Q96EY1	DNAJA3
Q16706	MAN2A1
Q9UID3	VPS51
O14548	COX7A2L
O95164	UBL3
P54710	FXYD2
P22570	FDXR
P80723	BASP1
P41252	IARS1
O60443	GSDME
P01019	AGT
Q86VP6	CAND1
O43865	AHCYL1
P21980	TGM2
P05388	RPLP0
Q8N5J2	MINDY1
P17948	FLT1
P07741	APRT
Q96EK6	GNPNAT1
Q9H3S7	PTPN23
P50990	CCT8
Q14315	FLNC
P14868	DARS1
P29992	GNA11
Q9NYF8	BCLAF1
Q9UBN7	HDAC6
P00325	ADH1B
O75264	SMIM24
P03952	KLKB1
O76041	NEBL
P16870	CPE
P49327	FASN
P17096	HMGA1
Q15029	EFTUD2
O43570	CA12
P50453	SERPINB9
P08123	COL1A2
Q9Y6I9	TEX264
Q9BQ69	MACROD1
O15460	P4HA2
Q9UK45	LSM7
Q07812	BAX
P07093	SERPINE2
Q49A88	CCDC14
Q8IZQ5	SELENOH
Q16181	SEPTIN7
O43583	DENR
Q96BI1	SLC22A18
Q8IV36	HID1
P01876	IGHA1
Q6IPR1	ETFRF1
P00451	F8
O00764	PDXK
Q6L8Q7	PDE12
P49257	LMAN1
Q9Y3E1	HDGFL3
Q9H3Y0	R3HDML
P35241	RDX
P00403	MT-CO2
O75533	SF3B1
O75947	ATP5PD
Q9C002	NMES1
P84157	MXRA7
Q63HN8	RNF213
Q08426	EHHADH
Q9NRK6	ABCB10
P00441	SOD1
P16144	ITGB4
P51148	RAB5C
O60925	PFDN1
P01714	IGLV3-19
Q9UII2	ATP5IF1
P51571	SSR4
P51687	SUOX
O75306	NDUFS2
P31040	SDHA
P17174	GOT1
P56470	LGALS4
Q9Y2H6	FNDC3A
Q8NI08	NCOA7
Q9UNM6	PSMD13
P09874	PARP1
Q9NVH1	DNAJC11
Q99832	CCT7
P02452	COL1A1
Q5JTV8	TOR1AIP1
O15127	SCAMP2
Q8TBP6	SLC25A40
O75390	CS
Q99460	PSMD1
P48507	GCLM
Q9BRP8	PYM1
Q9Y291	MRPS33
P61247	RPS3A
Q08174	PCDH1
Q8N392	ARHGAP18
P22033	MMUT
Q9HD67	MYO10
A6ND91	ASPDH
P49591	SARS1
P49585	PCYT1A
Q12931	TRAP1
Q53GI3	ZNF394
Q8TBC4	UBA3
Q9H3K2	GHITM
Q15427	SF3B4
P42765	ACAA2
Q9UJ83	HACL1
Q8NBX0	SCCPDH
Q96LJ7	DHRS1
Q12929	EPS8
P02748	C9
P10253	GAA
P51149	RAB7A
Q8IVF2	AHNAK2
Q01995	TAGLN
O00338	SULT1C2
Q4KMP7	TBC1D10B
Q9BUQ8	DDX23
Q96HN2	AHCYL2
P11413	G6PD
Q8IYB8	SUPV3L1
Q969H8	MYDGF
Q9BV20	MRI1
Q07020	RPL18
Q5SSJ5	HP1BP3
P04181	OAT
Q15437	SEC23B
Q8TEK3	DOT1L
P55036	PSMD4
Q53FZ2	ACSM3
P84243	H3-3A
P84243	H3-3B
O43813	LANCL1
P35558	PCK1
Q9UBF2	COPG2
P42704	LRPPRC
O95292	VAPB
O94905	ERLIN2
O43895	XPNPEP2
P62312	LSM6
P02765	AHSG
Q9H2W6	MRPL46
Q9Y5P6	GMPPB
P06756	ITGAV
P55735	SEC13
Q8NBQ5	HSD17B11
P13674	P4HA1
O14966	RAB29
P55285	CDH6
Q9BPX6	MICU1
O43852	CALU
P53041	PPP5C
Q14254	FLOT2
Q08431	MFGE8
O00483	NDUFA4
Q92522	H1-10
Q96B36	AKT1S1
P51606	RENBP
P00505	GOT2
Q9ULC4	MCTS1
P27694	RPA1
P05198	EIF2S1
Q92499	DDX1
P98160	HSPG2
P55268	LAMB2
Q9HAT2	SIAE
P08185	SERPINA6
O60763	USO1
Q13564	NAE1
P05026	ATP1B1
Q13586	STIM1
P05455	SSB
P17516	AKR1C4
O94906	PRPF6
P04271	S100B
Q96FN4	CPNE2
O95379	TNFAIP8
O96019	ACTL6A
Q2M389	WASHC4
Q99715	COL12A1
P51991	HNRNPA3
Q9H1K1	ISCU
Q9H008	LHPP
P08195	SLC3A2
P32929	CTH
P04217	A1BG
P43686	PSMC4
Q9BQI9	NRIP2
Q96G23	CERS2
Q9Y3U8	RPL36
Q5SYB0	FRMPD1
P48637	GSS
Q9UGV2	NDRG3
P00533	EGFR
P63010	AP2B1
P63208	SKP1
Q9UMS0	NFU1
P02549	SPTA1
Q9H3Z4	DNAJC5
P21589	NT5E
P04004	VTN
P31323	PRKAR2B
Q9UJW0	DCTN4
Q9NR31	SAR1A
P28074	PSMB5
O95479	H6PD
O94979	SEC31A
Q00610	CLTC
Q9UN86	G3BP2
Q6AWC2	WWC2
Q9BZQ8	NIBAN1
Q9NRL2	BAZ1A
Q6P1X6	C8orf82
P12956	XRCC6
P29144	TPP2
P11217	PYGM
Q14157	UBAP2L
P49441	INPP1
O96009	NAPSA
Q06124	PTPN11
Q8WXD9	CASKIN1
Q14449	GRB14
Q4V328	GRIPAP1
Q92626	PXDN
Q10570	CPSF1
O43670	ZNF207
O43175	PHGDH
O75874	IDH1
Q9HCH0	NCKAP5L
P36871	PGM1
P69891	HBG1
O75569	PRKRA
Q8NE71	ABCF1
P60174	TPI1
Q16531	DDB1
Q08209	PPP3CA
P11172	UMPS
Q53RD9	FBLN7
Q14376	GALE
P38159	RBMX
P08559	PDHA1
Q5JRX3	PITRM1
Q9Y2S2	CRYL1
O75367	MACROH2A1
P37802	TAGLN2
O00303	EIF3F
P51610	HCFC1
O75369	FLNB
O75608	LYPLA1
Q8TCD5	NT5C
Q9HAU5	UPF2
P98095	FBLN2
P10643	C7
O94855	SEC24D
P11021	HSPA5
Q96CP2	FLYWCH2
P01833	PIGR
Q96AC1	FERMT2
P16219	ACADS
Q9HB40	SCPEP1
O60240	PLIN1
Q92598	HSPH1
P55157	MTTP
Q9BUP3	HTATIP2
P60981	DSTN
Q6UB98	ANKRD12
P16401	H1-5
Q86X76	NIT1
Q16775	HAGH
P29536	LMOD1
P24310	COX7A1
Q86WU2	LDHD
Q9NZJ7	MTCH1
Q04446	GBE1
Q68CK6	ACSM2B
Q9BXF6	RAB11FIP5
P48728	AMT
Q99611	SEPHS2
O43504	LAMTOR5
Q96AB3	ISOC2
P10809	HSPD1
Q04837	SSBP1
Q15363	TMED2
O43493	TGOLN2
Q8NE62	CHDH
Q9BY66	KDM5D
Q9HAC7	SUGCT
P18206	VCL
Q8NEY4	ATP6V1C2
Q96BS2	TESC
P38117	ETFB
O15260	SURF4
Q8WXX7	AUTS2
O94808	GFPT2
Q96FZ7	CHMP6
P22732	SLC2A5
Q9UF12	PRODH2
P05783	KRT18
P08133	ANXA6
O00232	PSMD12
P84090	ERH
Q8IUR0	TRAPPC5
P15374	UCHL3
P47985	UQCRFS1
Q9Y6U3	SCIN
P13796	LCP1
P51812	RPS6KA3
P41732	TSPAN7
P40306	PSMB10
P55072	VCP
P20339	RAB5A
Q99829	CPNE1
Q9NYU2	UGGT1
P31949	S100A11
P02753	RBP4
Q9Y285	FARSA
Q12907	LMAN2
Q5VWZ2	LYPLAL1
Q04941	PLP2
Q96I59	NARS2
P08648	ITGA5
P62136	PPP1CA
Q14766	LTBP1
Q7L014	DDX46
Q9UQ80	PA2G4
Q9UNL2	SSR3
Q8WUM4	PDCD6IP
O60313	OPA1
P49908	SELENOP
O95428	PAPLN
Q14914	PTGR1
O00499	BIN1
Q8TB37	NUBPL
Q03154	ACY1
Q5TC12	ATPAF1
Q9Y287	ITM2B
Q9BX66	SORBS1
Q14974	KPNB1
O43399	TPD52L2
Q7LBR1	CHMP1B
P04792	HSPB1
Q9NPA8	ENY2
Q9Y2D5	AKAP2
O14732	IMPA2
P55795	HNRNPH2
Q14894	CRYM
Q96FW1	OTUB1
Q6WKZ4	RAB11FIP1
Q969Z3	MTARC2
P01824	IGHV4-39
P02760	AMBP
P18077	RPL35A
Q96DC8	ECHDC3
P41218	MNDA
P36578	RPL4
P00746	CFD
Q15046	KARS1
Q9BRX8	PRXL2A
P25787	PSMA2
P34059	GALNS
O95302	FKBP9
O43837	IDH3B
P00734	F2
P63241	EIF5A
P50851	LRBA
O15320	MIA2
P25940	COL5A3
Q86YH6	PDSS2
Q8HWS3	RFX6
P22392	NME2
Q96ER9	CCDC51
P63096	GNAI1
Q9NUQ6	SPATS2L
O95816	BAG2
Q12959	DLG1
O43182	ARHGAP6
P07360	C8G
P00918	CA2
P02461	COL3A1
Q9UJY5	GGA1
P36404	ARL2
Q8IUZ5	PHYKPL
Q6UX06	OLFM4
P13866	SLC5A1
Q9NX14	NDUFB11
P82663	MRPS25
O60869	EDF1
P16949	STMN1
Q9UI12	ATP6V1H
Q9BVJ7	DUSP23
Q92688	ANP32B
P49023	PXN
P28065	PSMB9
P23588	EIF4B
Q9NP92	MRPS30
O14773	TPP1
Q96DA6	DNAJC19
P00846	MT-ATP6
P35244	RPA3
P82909	MRPS36
Q93099	HGD
Q9H446	RWDD1
P35237	SERPINB6
P26641	EEF1G
Q5VUM1	SDHAF4
Q695T7	SLC6A19
P32322	PYCR1
Q8NFU3	TSTD1
O14879	IFIT3
P13647	KRT5
P02774	GC
Q9ULV4	CORO1C
Q96DB5	RMDN1
Q01459	CTBS
Q96RQ1	ERGIC2
P00450	CP
Q15800	MSMO1
Q96NL6	SCLT1
O14832	PHYH
P20674	COX5A
P10301	RRAS
P55145	MANF
Q9Y608	LRRFIP2
Q9UHK6	AMACR
O75150	RNF40
Q9Y673	ALG5
O43143	DHX15
P48539	PCP4
Q53H12	AGK
Q5T619	ZNF648
P06454	PTMA
P49588	AARS1
Q92506	HSD17B8
Q9NRX4	PHPT1
Q7L523	RRAGA
O75506	HSBP1
Q9NZU0	FLRT3
P32119	PRDX2
P23786	CPT2
P55042	RRAD
O14841	OPLAH
Q13228	SELENBP1
Q9C0E2	XPO4
Q9H3S4	TPK1
O95169	NDUFB8
Q9Y4L1	HYOU1
Q7RTV0	PHF5A
Q99622	C12orf57
P78540	ARG2
Q14152	EIF3A
O14558	HSPB6
P13987	CD59
Q9H1A3	METTL9
Q9UL12	SARDH
P50895	BCAM
P15289	ARSA
P63279	UBE2I
P98164	LRP2
P62701	RPS4X
P00387	CYB5R3
P50238	CRIP1
P16104	H2AX
Q5XKE5	KRT79
Q9H1E3	NUCKS1
O15230	LAMA5
Q99684	GFI1
Q7L3T8	PARS2
Q9BSD7	NTPCR
P22102	GART
O95758	PTBP3
O00592	PODXL
Q09666	AHNAK
Q9HCC0	MCCC2
P07339	CTSD
P17655	CAPN2
P04839	CYBB
Q07065	CKAP4
